"filename", "language", "Python", "JavaScript", "PostCSS", "XML", "Markdown", "JSON", "JavaScript JSX", "HTML", "comment", "blank", "total"
"d:\vscodeProjects\arena-fastapi\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vscodeProjects\arena-fastapi\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vscodeProjects\arena-fastapi\backend\app\config.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\vscodeProjects\arena-fastapi\backend\app\core\security.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 5, 17, 54
"d:\vscodeProjects\arena-fastapi\backend\app\database.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 6, 7, 57
"d:\vscodeProjects\arena-fastapi\backend\app\dependencies\auth.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"d:\vscodeProjects\arena-fastapi\backend\app\main.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"d:\vscodeProjects\arena-fastapi\backend\app\models\__init__.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\vscodeProjects\arena-fastapi\backend\app\models\contest.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 10, 15, 94
"d:\vscodeProjects\arena-fastapi\backend\app\models\contest_task.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 7, 13, 71
"d:\vscodeProjects\arena-fastapi\backend\app\models\contest_user.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 6, 11, 62
"d:\vscodeProjects\arena-fastapi\backend\app\models\dictionaries.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 27, 55, 209
"d:\vscodeProjects\arena-fastapi\backend\app\models\password_reset.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 12, 13, 64
"d:\vscodeProjects\arena-fastapi\backend\app\models\refresh_token.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\vscodeProjects\arena-fastapi\backend\app\models\sandbox.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 8, 13, 82
"d:\vscodeProjects\arena-fastapi\backend\app\models\session.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 14, 12, 71
"d:\vscodeProjects\arena-fastapi\backend\app\models\solution.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 10, 14, 104
"d:\vscodeProjects\arena-fastapi\backend\app\models\task.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 6, 13, 94
"d:\vscodeProjects\arena-fastapi\backend\app\models\user.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 3, 9, 82
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\base.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\contest.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\contest_task.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\solution.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\task.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\user.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"d:\vscodeProjects\arena-fastapi\backend\app\routes\auth.py", "Python", 87, 0, 0, 0, 0, 0, 0, 0, 2, 24, 113
"d:\vscodeProjects\arena-fastapi\backend\app\routes\contests.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 13, 20, 117
"d:\vscodeProjects\arena-fastapi\backend\app\routes\test_roles.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"d:\vscodeProjects\arena-fastapi\backend\app\routes\users.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\auth.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\contest.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\solution.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\task.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 12, 41
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\user.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 2, 7, 22
"d:\vscodeProjects\arena-fastapi\backend\app\services\auth.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66
"d:\vscodeProjects\arena-fastapi\backend\scripts\create_org.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 14, 13, 77
"d:\vscodeProjects\arena-fastapi\backend\scripts\init_db.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\vscodeProjects\arena-fastapi\backend\scripts\test_business_logic.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 5, 6, 35
"d:\vscodeProjects\arena-fastapi\backend\scripts\test_contest_structures.py", "Python", 170, 0, 0, 0, 0, 0, 0, 0, 19, 42, 231
"d:\vscodeProjects\arena-fastapi\backend\scripts\test_contest_task_structures.py", "Python", 177, 0, 0, 0, 0, 0, 0, 0, 20, 36, 233
"d:\vscodeProjects\arena-fastapi\backend\scripts\test_contest_user_structures.py", "Python", 175, 0, 0, 0, 0, 0, 0, 0, 13, 37, 225
"d:\vscodeProjects\arena-fastapi\backend\scripts\test_solution_sandbox_structures.py", "Python", 168, 0, 0, 0, 0, 0, 0, 0, 26, 39, 233
